semana_inicio,anio,tiempo,post,tiempo_post,pm25_sem,hosp_resp_sem
2020-10-26,2020,122,0,0,31.21,443
2020-11-02,2020,123,0,0,29.41,414
2020-11-09,2020,124,0,0,32.72,398
2020-11-16,2020,125,0,0,27.75,378
2020-11-23,2020,126,0,0,26.95,409
2020-11-30,2020,127,0,0,28.85,394
2020-12-07,2020,128,0,0,27.49,364
2020-12-14,2020,129,0,0,23.08,348
2020-12-21,2020,130,0,0,28.67,403
2020-12-28,2020,131,0,0,28.42,372
2021-01-04,2021,132,0,0,19.32,345
2021-01-11,2021,133,0,0,20.58,306
2021-01-18,2021,134,0,0,20.71,362
2021-01-25,2021,135,0,0,19.76,353
2021-02-01,2021,136,0,0,19.15,333
2021-02-08,2021,137,0,0,19.25,361
2021-02-15,2021,138,0,0,18.28,393
2021-02-22,2021,139,0,0,21.75,404
2021-03-01,2021,140,0,0,20.23,396
2021-03-08,2021,141,0,0,23.4,379
2021-03-15,2021,142,0,0,25.07,428
2021-03-22,2021,143,0,0,23.08,433
2021-03-29,2021,144,0,0,27.91,419
2021-04-05,2021,145,0,0,31.3,450
2021-04-12,2021,146,0,0,31.25,431
2021-04-19,2021,147,0,0,33.32,453
2021-04-26,2021,148,0,0,32.34,466
2021-05-03,2021,149,0,0,37.61,488
2021-05-10,2021,150,0,0,32.98,484
2021-05-17,2021,151,0,0,36.29,493
2021-05-24,2021,152,0,0,33.01,542
2021-05-31,2021,153,0,0,35.31,545
2021-06-07,2021,154,0,0,39.08,585
2021-06-14,2021,155,0,0,41.94,590
2021-06-21,2021,156,0,0,39.84,555
2021-06-28,2021,157,0,0,42.32,556
2021-07-05,2021,158,1,1,40.7,551
2021-07-12,2021,159,1,2,37.44,574
2021-07-19,2021,160,1,3,41.05,541
2021-07-26,2021,161,1,4,38.49,591
2021-08-02,2021,162,1,5,34.96,560
2021-08-09,2021,163,1,6,35.49,462
2021-08-16,2021,164,1,7,36.3,538
2021-08-23,2021,165,1,8,34.77,498
2021-08-30,2021,166,1,9,29.35,506
2021-09-06,2021,167,1,10,33.12,492
2021-09-13,2021,168,1,11,26.91,502
2021-09-20,2021,169,1,12,33.34,452
2021-09-27,2021,170,1,13,32.44,449
2021-10-04,2021,171,1,14,30.63,453
2021-10-11,2021,172,1,15,26.58,374
2021-10-18,2021,173,1,16,22.0,388
2021-10-25,2021,174,1,17,26.99,428
2021-11-01,2021,175,1,18,27.29,396
2021-11-08,2021,176,1,19,20.78,397
2021-11-15,2021,177,1,20,22.17,359
2021-11-22,2021,178,1,21,21.45,330
2021-11-29,2021,179,1,22,22.71,366
2021-12-06,2021,180,1,23,23.06,313
2021-12-13,2021,181,1,24,22.48,352
2021-12-20,2021,182,1,25,19.09,320
2021-12-27,2021,183,1,26,15.79,318
2022-01-03,2022,184,1,27,17.92,333
2022-01-10,2022,185,1,28,16.6,315
2022-01-17,2022,186,1,29,12.81,274
2022-01-24,2022,187,1,30,11.06,338
2022-01-31,2022,188,1,31,17.02,301
2022-02-07,2022,189,1,32,15.48,344
2022-02-14,2022,190,1,33,18.18,327
2022-02-21,2022,191,1,34,17.52,333
2022-02-28,2022,192,1,35,22.46,349
2022-03-07,2022,193,1,36,21.77,341
2022-03-14,2022,194,1,37,17.36,351
2022-03-21,2022,195,1,38,19.23,360
2022-03-28,2022,196,1,39,20.45,393
2022-04-04,2022,197,1,40,25.52,365
2022-04-11,2022,198,1,41,27.43,412
2022-04-18,2022,199,1,42,29.72,421
2022-04-25,2022,200,1,43,26.47,397
2022-05-02,2022,201,1,44,32.88,426
2022-05-09,2022,202,1,45,32.43,440
2022-05-16,2022,203,1,46,34.01,461
2022-05-23,2022,204,1,47,30.63,464
2022-05-30,2022,205,1,48,30.59,492
2022-06-06,2022,206,1,49,33.16,485
2022-06-13,2022,207,1,50,33.34,538
2022-06-20,2022,208,1,51,32.94,494
2022-06-27,2022,209,1,52,34.81,535
2022-07-04,2022,210,1,53,34.02,541
2022-07-11,2022,211,1,54,36.72,472
2022-07-18,2022,212,1,55,40.74,551
2022-07-25,2022,213,1,56,39.59,523
2022-08-01,2022,214,1,57,34.85,528
2022-08-08,2022,215,1,58,36.57,551
2022-08-15,2022,216,1,59,37.92,548
2022-08-22,2022,217,1,60,32.12,489
2022-08-29,2022,218,1,61,31.01,492
2022-09-05,2022,219,1,62,27.55,473
2022-09-12,2022,220,1,63,33.4,512
2022-09-19,2022,221,1,64,35.16,465
2022-09-26,2022,222,1,65,30.16,458
2022-10-03,2022,223,1,66,26.44,400
2022-10-10,2022,224,1,67,31.0,441
2022-10-17,2022,225,1,68,28.99,433
2022-10-24,2022,226,1,69,21.69,394
2022-10-31,2022,227,1,70,23.4,374
2022-11-07,2022,228,1,71,20.64,385
2022-11-14,2022,229,1,72,22.27,343
2022-11-21,2022,230,1,73,18.91,323
2022-11-28,2022,231,1,74,21.34,361
2022-12-05,2022,232,1,75,20.23,349
2022-12-12,2022,233,1,76,19.13,322
2022-12-19,2022,234,1,77,15.23,319
2022-12-26,2022,235,1,78,19.45,344
2023-01-02,2023,236,1,79,16.33,305
2023-01-09,2023,237,1,80,12.48,309
2023-01-16,2023,238,1,81,5.64,323
2023-01-23,2023,239,1,82,16.67,315
2023-01-30,2023,240,1,83,20.34,321
2023-02-06,2023,241,1,84,21.53,318
2023-02-13,2023,242,1,85,20.82,331
2023-02-20,2023,243,1,86,21.11,334
2023-02-27,2023,244,1,87,21.92,349
2023-03-06,2023,245,1,88,21.6,348
2023-03-13,2023,246,1,89,19.63,341
2023-03-20,2023,247,1,90,15.87,355
2023-03-27,2023,248,1,91,22.26,388
2023-04-03,2023,249,1,92,20.65,382
2023-04-10,2023,250,1,93,21.46,355
2023-04-17,2023,251,1,94,26.82,386
2023-04-24,2023,252,1,95,28.17,426
2023-05-01,2023,253,1,96,26.19,394
2023-05-08,2023,254,1,97,31.19,483
2023-05-15,2023,255,1,98,29.8,461
2023-05-22,2023,256,1,99,30.1,458
2023-05-29,2023,257,1,100,26.42,458
2023-06-05,2023,258,1,101,34.27,514
2023-06-12,2023,259,1,102,38.78,479
2023-06-19,2023,260,1,103,32.25,448
2023-06-26,2023,261,1,104,36.76,475
2023-07-03,2023,262,1,105,35.81,475
2023-07-10,2023,263,1,106,37.36,503
2023-07-17,2023,264,1,107,38.71,548
2023-07-24,2023,265,1,108,40.07,558
2023-07-31,2023,266,1,109,43.4,490
2023-08-07,2023,267,1,110,40.97,472
2023-08-14,2023,268,1,111,39.51,474
2023-08-21,2023,269,1,112,31.95,511
2023-08-28,2023,270,1,113,29.64,494
2023-09-04,2023,271,1,114,30.67,435
2023-09-11,2023,272,1,115,32.92,496
2023-09-18,2023,273,1,116,29.17,426
2023-09-25,2023,274,1,117,29.76,453
2023-10-02,2023,275,1,118,28.85,431
2023-10-09,2023,276,1,119,27.76,416
2023-10-16,2023,277,1,120,27.23,405
2023-10-23,2023,278,1,121,31.33,395
2023-10-30,2023,279,1,122,23.8,403
2023-11-06,2023,280,1,123,23.32,361
2023-11-13,2023,281,1,124,21.05,373
2023-11-20,2023,282,1,125,25.89,356
2023-11-27,2023,283,1,126,20.64,341
2023-12-04,2023,284,1,127,20.54,335
2023-12-11,2023,285,1,128,17.31,372
2023-12-18,2023,286,1,129,15.06,281
2023-12-25,2023,287,1,130,9.55,292
