fecha,anio,mes,dia_semana,doy,feriado,poblacion_anual,temp_med,pm25,mort_total,mort_cardio,mort_resp,hosp_total,hosp_cardio,hosp_resp
2019-11-07,2019,11,jue,311,0,10209000,18.19,11.84,126,42,30,505,106,117
2019-11-08,2019,11,vie,312,0,10209000,19.32,17.0,167,47,22,468,104,119
2019-11-09,2019,11,sab,313,0,10209000,17.51,17.27,160,49,21,496,107,131
2019-11-10,2019,11,dom,314,0,10209000,18.58,16.78,155,50,27,456,113,127
2019-11-11,2019,11,lun,315,0,10209000,18.96,25.42,178,68,30,532,93,115
2019-11-12,2019,11,mar,316,0,10209000,17.9,19.42,162,27,27,500,109,119
2019-11-13,2019,11,mie,317,0,10209000,17.74,14.36,162,48,41,499,113,105
2019-11-14,2019,11,jue,318,0,10209000,18.98,18.08,151,44,20,517,115,126
2019-11-15,2019,11,vie,319,0,10209000,19.98,16.56,148,44,20,548,97,132
2019-11-16,2019,11,sab,320,0,10209000,18.26,22.62,149,35,24,503,96,135
2019-11-17,2019,11,dom,321,0,10209000,18.13,9.69,152,51,23,436,85,124
